Date,Close
1980-03-17,0.3822774887084961
1980-03-18,0.39319971203804016
1980-03-19,0.3822774887084961
1980-03-20,0.3822774887084961
1980-03-21,0.3822774887084961
1980-03-24,0.3713550865650177
1980-03-25,0.3604327440261841
1980-03-26,0.34951063990592957
1980-03-27,0.3385886549949646
1980-03-28,0.34951063990592957
1980-03-31,0.34951063990592957
1980-04-01,0.34951063990592957
1980-04-02,0.3604327440261841
1980-04-03,0.3604327440261841
1980-04-07,0.34951063990592957
1980-04-08,0.34951063990592957
1980-04-09,0.34951063990592957
1980-04-10,0.3604327440261841
1980-04-11,0.3822774887084961
1980-04-14,0.3822774887084961
1980-04-15,0.3822774887084961
1980-04-16,0.3713550865650177
1980-04-17,0.3713550865650177
1980-04-18,0.3713550865650177
1980-04-21,0.3604327440261841
1980-04-22,0.3713550865650177
1980-04-23,0.3713550865650177
1980-04-24,0.3822774887084961
1980-04-25,0.3713550865650177
1980-04-28,0.39319971203804016
1980-04-29,0.39319971203804016
1980-04-30,0.3822774887084961
1980-05-01,0.3822774887084961
1980-05-02,0.3822774887084961
1980-05-05,0.3822774887084961
1980-05-06,0.3822774887084961
1980-05-07,0.3713550865650177
1980-05-08,0.3713550865650177
1980-05-09,0.3713550865650177
1980-05-12,0.3713550865650177
1980-05-13,0.3713550865650177
1980-05-14,0.3822774887084961
1980-05-15,0.3822774887084961
1980-05-16,0.3822774887084961
1980-05-19,0.39319971203804016
1980-05-20,0.39319971203804016
1980-05-21,0.3822774887084961
1980-05-22,0.39319971203804016
1980-05-23,0.39319971203804016
1980-05-27,0.39319971203804016
1980-05-28,0.4041218161582947
1980-05-29,0.4041218161582947
1980-05-30,0.4041218161582947
1980-06-02,0.4041218161582947
1980-06-03,0.4041218161582947
1980-06-04,0.4041218161582947
1980-06-05,0.4041218161582947
1980-06-06,0.4041218161582947
1980-06-09,0.41504406929016113
1980-06-10,0.41504406929016113
1980-06-11,0.41504406929016113
1980-06-12,0.41504406929016113
1980-06-13,0.41504406929016113
1980-06-16,0.41504406929016113
1980-06-17,0.41504406929016113
1980-06-18,0.41504406929016113
1980-06-19,0.4041218161582947
1980-06-20,0.4041218161582947
1980-06-23,0.4041218161582947
1980-06-24,0.4041218161582947
1980-06-25,0.4041218161582947
1980-06-26,0.39319971203804016
1980-06-27,0.39319971203804016
1980-06-30,0.3822774887084961
1980-07-01,0.39319971203804016
1980-07-02,0.39319971203804016
1980-07-03,0.39319971203804016
1980-07-07,0.4041218161582947
1980-07-08,0.4041218161582947
1980-07-09,0.39319971203804016
1980-07-10,0.39319971203804016
1980-07-11,0.39319971203804016
1980-07-14,0.39319971203804016
1980-07-15,0.4041218161582947
1980-07-16,0.43688857555389404
1980-07-17,0.43688857555389404
1980-07-18,0.43688857555389404
1980-07-21,0.4314271807670593
1980-07-22,0.4259664714336395
1980-07-23,0.4259664714336395
1980-07-24,0.4259664714336395
1980-07-25,0.4259664714336395
1980-07-28,0.4259664714336395
1980-07-29,0.41504406929016113
1980-07-30,0.39319971203804016
1980-07-31,0.39319971203804016
1980-08-01,0.4041218161582947
1980-08-04,0.39319971203804016
1980-08-05,0.39319971203804016
1980-08-06,0.39319971203804016
1980-08-07,0.4041218161582947
1980-08-08,0.4041218161582947
1980-08-11,0.4041218161582947
1980-08-12,0.4041218161582947
1980-08-13,0.4041218161582947
1980-08-14,0.4041218161582947
1980-08-15,0.4041218161582947
1980-08-18,0.4041218161582947
1980-08-19,0.3822774887084961
1980-08-20,0.3822774887084961
1980-08-21,0.3822774887084961
1980-08-22,0.39319971203804016
1980-08-25,0.3713550865650177
1980-08-26,0.3822774887084961
1980-08-27,0.3822774887084961
1980-08-28,0.3822774887084961
1980-08-29,0.3822774887084961
1980-09-02,0.39319971203804016
1980-09-03,0.39319971203804016
1980-09-04,0.4041218161582947
1980-09-05,0.4259664714336395
1980-09-08,0.4041218161582947
1980-09-09,0.4041218161582947
1980-09-10,0.4041218161582947
1980-09-11,0.4259664714336395
1980-09-12,0.41504406929016113
1980-09-15,0.4259664714336395
1980-09-16,0.4259664714336395
1980-09-17,0.48057714104652405
1980-09-18,0.48057714104652405
1980-09-19,0.589799165725708
1980-09-22,0.5788769125938416
1980-09-23,0.5461105704307556
1980-09-24,0.6007212996482849
1980-09-25,0.5679545402526855
1980-09-26,0.5679545402526855
1980-09-29,0.5133439302444458
1980-09-30,0.5242661833763123
1980-10-01,0.5351883172988892
1980-10-02,0.5351883172988892
1980-10-03,0.5788769125938416
1980-10-06,0.589799165725708
1980-10-07,0.589799165725708
1980-10-08,0.6334882378578186
1980-10-09,0.589799165725708
1980-10-10,0.5570326447486877
1980-10-13,0.5788769125938416
1980-10-14,0.5679545402526855
1980-10-15,0.5679545402526855
1980-10-16,0.5570326447486877
1980-10-17,0.5788769125938416
1980-10-20,0.5788769125938416
1980-10-21,0.6334882378578186
1980-10-22,0.6662552952766418
1980-10-23,0.6553329825401306
1980-10-24,0.6553329825401306
1980-10-27,0.589799165725708
1980-10-28,0.5788769125938416
1980-10-29,0.5788769125938416
1980-10-30,0.5679545402526855
1980-10-31,0.6007212996482849
1980-11-03,0.589799165725708
1980-11-05,0.6007212996482849
1980-11-06,0.5788769125938416
1980-11-07,0.5788769125938416
1980-11-10,0.5679545402526855
1980-11-11,0.5788769125938416
1980-11-12,0.5788769125938416
1980-11-13,0.6334882378578186
1980-11-14,0.6225659847259521
1980-11-17,0.6225659847259521
1980-11-18,0.6225659847259521
1980-11-19,0.61164391040802
1980-11-20,0.6061826348304749
1980-11-21,0.6007212996482849
1980-11-24,0.589799165725708
1980-11-25,0.6007212996482849
1980-11-26,0.61164391040802
1980-11-28,0.6334882378578186
1980-12-01,0.6007212996482849
1980-12-02,0.589799165725708
1980-12-03,0.6007212996482849
1980-12-04,0.61164391040802
1980-12-05,0.61164391040802
1980-12-08,0.5679545402526855
1980-12-09,0.5679545402526855
1980-12-10,0.5461105704307556
1980-12-11,0.5024217367172241
1980-12-12,0.5133439302444458
1980-12-15,0.5133439302444458
1980-12-16,0.5242661833763123
1980-12-17,0.5242661833763123
1980-12-18,0.5351883172988892
1980-12-19,0.5351883172988892
1980-12-22,0.5242661833763123
1980-12-23,0.5242661833763123
1980-12-24,0.5133439302444458
1980-12-26,0.5242661833763123
1980-12-29,0.5133439302444458
1980-12-30,0.4914999008178711
1980-12-31,0.5024217367172241
1981-01-02,0.5242661833763123
1981-01-05,0.5133439302444458
1981-01-06,0.5133439302444458
1981-01-07,0.48057714104652405
1981-01-08,0.46965497732162476
1981-01-09,0.5024217367172241
1981-01-12,0.5024217367172241
1981-01-13,0.48057714104652405
1981-01-14,0.4587327837944031
1981-01-15,0.4914999008178711
1981-01-16,0.5024217367172241
1981-01-19,0.5024217367172241
1981-01-20,0.4914999008178711
1981-01-21,0.5024217367172241
1981-01-22,0.5024217367172241
1981-01-23,0.5024217367172241
1981-01-26,0.5024217367172241
1981-01-27,0.5024217367172241
1981-01-28,0.5133439302444458
1981-01-29,0.5242661833763123
1981-01-30,0.5242661833763123
1981-02-02,0.5133439302444458
1981-02-03,0.5133439302444458
1981-02-04,0.5133439302444458
1981-02-05,0.5133439302444458
1981-02-06,0.5133439302444458
1981-02-09,0.5024217367172241
1981-02-10,0.5024217367172241
1981-02-11,0.5133439302444458
1981-02-12,0.5133439302444458
1981-02-13,0.5024217367172241
1981-02-17,0.5024217367172241
1981-02-18,0.5078829526901245
1981-02-19,0.4914999008178711
1981-02-20,0.4914999008178711
1981-02-23,0.4914999008178711
1981-02-24,0.48057714104652405
1981-02-25,0.48057714104652405
1981-02-26,0.48057714104652405
1981-02-27,0.48057714104652405
1981-03-02,0.46965497732162476
1981-03-03,0.4641939699649811
1981-03-04,0.4587327837944031
1981-03-05,0.4587327837944031
1981-03-06,0.46965497732162476
1981-03-09,0.4587327837944031
1981-03-10,0.4587327837944031
1981-03-11,0.4587327837944031
1981-03-12,0.48057714104652405
1981-03-13,0.4914999008178711
1981-03-16,0.4914999008178711
1981-03-17,0.48057714104652405
1981-03-18,0.4914999008178711
1981-03-19,0.4914999008178711
1981-03-20,0.48057714104652405
1981-03-23,0.4914999008178711
1981-03-24,0.5133439302444458
1981-03-25,0.5242661833763123
1981-03-26,0.5351883172988892
1981-03-27,0.5351883172988892
1981-03-30,0.5351883172988892
1981-03-31,0.5351883172988892
1981-04-01,0.5351883172988892
1981-04-02,0.5351883172988892
1981-04-03,0.5351883172988892
1981-04-06,0.5351883172988892
1981-04-07,0.5242661833763123
1981-04-08,0.5351883172988892
1981-04-09,0.5351883172988892
1981-04-10,0.5351883172988892
1981-04-13,0.5570326447486877
1981-04-14,0.5788769125938416
1981-04-15,0.589799165725708
1981-04-16,0.589799165725708
1981-04-20,0.589799165725708
1981-04-21,0.589799165725708
1981-04-22,0.589799165725708
1981-04-23,0.5788769125938416
1981-04-24,0.5788769125938416
1981-04-27,0.5788769125938416
1981-04-28,0.5788769125938416
1981-04-29,0.5679545402526855
1981-04-30,0.5679545402526855
1981-05-01,0.5679545402526855
1981-05-04,0.5570326447486877
1981-05-05,0.5570326447486877
1981-05-06,0.5570326447486877
1981-05-07,0.5570326447486877
1981-05-08,0.5570326447486877
1981-05-11,0.5351883172988892
1981-05-12,0.5351883172988892
1981-05-13,0.5461105704307556
1981-05-14,0.5351883172988892
1981-05-15,0.5461105704307556
1981-05-18,0.5461105704307556
1981-05-19,0.5351883172988892
1981-05-20,0.5351883172988892
1981-05-21,0.5351883172988892
1981-05-22,0.5351883172988892
1981-05-26,0.5351883172988892
1981-05-27,0.5351883172988892
1981-05-28,0.5242661833763123
1981-05-29,0.5133439302444458
1981-06-01,0.5024217367172241
1981-06-02,0.4914999008178711
1981-06-03,0.5024217367172241
1981-06-04,0.4914999008178711
1981-06-05,0.4914999008178711
1981-06-08,0.4914999008178711
1981-06-09,0.4914999008178711
1981-06-10,0.5024217367172241
1981-06-11,0.5461105704307556
1981-06-12,0.5351883172988892
1981-06-15,0.5788769125938416
1981-06-16,0.5570326447486877
1981-06-17,0.5679545402526855
1981-06-18,0.5679545402526855
1981-06-19,0.5570326447486877
1981-06-22,0.5570326447486877
1981-06-23,0.5679545402526855
1981-06-24,0.5679545402526855
1981-06-25,0.5570326447486877
1981-06-26,0.5461105704307556
1981-06-29,0.5461105704307556
1981-06-30,0.5351883172988892
1981-07-01,0.5133439302444458
1981-07-02,0.5024217367172241
1981-07-06,0.4914999008178711
1981-07-07,0.4914999008178711
1981-07-08,0.4914999008178711
1981-07-09,0.4914999008178711
1981-07-10,0.4914999008178711
1981-07-13,0.46965497732162476
1981-07-14,0.47511613368988037
1981-07-15,0.46965497732162476
1981-07-16,0.46965497732162476
1981-07-17,0.48057714104652405
1981-07-20,0.46965497732162476
1981-07-21,0.4478105902671814
1981-07-22,0.43688857555389404
1981-07-23,0.4478105902671814
1981-07-24,0.4478105902671814
1981-07-27,0.4478105902671814
1981-07-28,0.4478105902671814
1981-07-29,0.4478105902671814
1981-07-30,0.4478105902671814
